NOMBRE;GRATUITO;FECHA;FECHA-FIN;HORA;NOMBRE-INSTALACION;latitude;longitude;DISTRITO
Cine de verano. La familia Blier;0;2015-09-01;2015-09-01;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. La familia Blier;0;2015-08-27;2015-08-27;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Leviatn;0;2015-08-31;2015-08-31;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Leviatn;0;2015-08-26;2015-08-26;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Mad Max: furia en la carretera;0;2015-07-28;2015-07-28;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Mad Max: furia en la carretera;0;2015-07-24;2015-07-24;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Magia a la luz de la luna;0;2015-08-21;2015-08-21;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Magia a la luz de la luna;0;2015-08-24;2015-08-24;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Maps to the stars;0;2015-09-04;2015-09-04;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Maps to the stars;0;2015-09-07;2015-09-07;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Mortadelo y Filemn contra Jimmy el Cachondo;0;2015-08-08;2015-08-08;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. No molestar;0;2015-08-04;2015-08-04;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. No molestar;0;2015-07-31;2015-07-31;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Nuestro ltimo verano en Escocia;0;2015-08-10;2015-08-10;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Nuestro ltimo verano en Escocia;0;2015-08-06;2015-08-06;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Perdida;0;2015-09-03;2015-09-03;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Perdida;0;2015-08-30;2015-08-30;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Perdiendo el norte;0;2015-07-23;2015-07-23;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Phoenix;0;2015-08-18;2015-08-18;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Phoenix;0;2015-08-13;2015-08-13;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Pride;0;2015-08-14;2015-08-14;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Pride;0;2015-08-17;2015-08-17;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Suite francesa;0;2015-07-26;2015-07-26;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Tomorrowland. El mundo del maana;0;2015-07-25;2015-07-25;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Viaje a Sils Maria;0;2015-09-13;2015-09-13;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine: '8 Apellidos vascos';1;2015-09-05;2015-09-05;22:00;Parque Begoa;40.48390626699566;-3.687220746230517;FUENCARRAL-EL PARDO
Cine: 'Spiderman El Poder de Electra';1;2015-09-12;2015-09-12;22:00;Parque Begoa;40.48390626699566;-3.687220746230517;FUENCARRAL-EL PARDO
Concierto. Al.h;0;2015-09-26;2015-09-26;19:00;Centro Cultural Antonio Machado (San Blas - Canillejas);40.42027705095574;-3.621741078700336;SAN BLAS-CANILLEJAS
Concierto. Buenavista Social Club;0;2015-07-21;2015-07-21;21:30;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Ciclo de Otoo. Banda Sinfnica Municipal. 14 de octubre;1;2015-10-14;2015-10-14;19:30;Teatro Monumental;40.41248331678507;-3.6991755805601443;CENTRO
Concierto. Ciclo de Otoo. Banda Sinfnica Municipal. 30 de septiembre;1;2015-09-30;2015-09-30;19:30;Auditorio Nacional de Msica;40.44615938706209;-3.6779448874160314;CHAMARTIN
Concierto. Fekat Circus y Slum Drummers;0;2015-07-30;2015-07-30;21:30;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Franco Battiato;0;2015-09-06;2015-09-06;21:00;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. La Unin;0;2015-07-28;2015-07-28;21:00;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
Concierto. Najwajean;0;2015-07-29;2015-07-29;21:00;Teatro Circo Price;40.40596423138839;-3.698601359753866;ARGANZUELA
